word, definition
2- Abburresciu| Ingordo (Es.: minchieguaddu chi ti coddiri, bruttu abburresciu chi no ses attrru, as pappau tottu is bucconettusu de su cani!!!; che ti possa sfondare un mambro equino! brutto ingordo che non sei altro, ti sei mangiato tutti i "bucconettusu" del cane!!!!!! (bocconcini in cui viene inserito vetro per uccidere animali - (N.d.R A parte gli scherzi, questa pratica dei bocconcini avvelenati è barbara ed odiata dagli Artificieri che vi augurano 100 anni di sfiga e un'eternità di impotenza se ne farete uso!!) (Grazie a Tzia rua per la segnalazione)
3- Abburresciu| eccitato sessualmente (Es.: abburresciu mera sesi??; sei molto eccitato? - Detto in tono di disprezzo per una persona che si eccita facilmente) (Segnalazione di Robex)
Aborigenàu| Impoltronìto, aborigenàto. (es.: Oh Efisièddu t'àppu bìu aborigenàu in piazzetta bibèndi Ichnusa a manètta, scirarì!!! ; Trad.: Oh Efisio ti ho visto aborigenàto in piazza bevendo Birra, svegliati!!!) (Ringraziamo Prohu.)
Abramìto (o abramìu)| avido, spilorcio, ma anche voglioso (es.: abramìto di coddòngio: persona molto desiderosa di fare l'amore) (Grazie a Seme per la segnalazione)
Abu| abbreviazione di abuligiato, nel senso di mezzo addormentato (Es.: Oh abu! Ti ses' fumau unu joint e asi buffau cummenti unu maccu. Immoi ses' croccau in sa panchina e no tenisi gana de fai unucazzu!; Oh mezzo addormentato! Ti sei fumato una canna ed hai bevuto come un matto. Adesso sei coricato nella panchina e non hai voglia di fare nulla!) (Segnalazione di Freeck)
Abububu'| (gergale) Persona al quanto grezza convinta pero' di essere al quanto alla moda (es. classico con occhialoni, jeans stretti nel sedere a zampa di elefante, giubottino smanicato, capellino con marca bene in vista) (es.: Castia Marco, du bisi? esti tottu abubu' candu andara a baddai in discoteca all'euro - trad.: Guarda Marco, lo vedi? e' molto grezzo quando va' a ballare in discoteca all'eurogarden) (ringraziamo Abububu' per la segnalazione)
Abuddàu| Collassato, sbronzissimo. (es.: Sèu abuddàu a s'eccèssu! ; Trad.: Sono collassato all'eccesso!) (Un ringraziamento a Patata.)
Abuliggiau| svogliatezza-stanchezza tipica del dopo pranzo, sbragamento (es.: "Castiaddu abuliggiau perdiu" oppure "Tinci sesi abuliggiau  de bruttu dopo priandu?" ;  "Guardalo svogliato-sbragato al massimo" - "Ti sei rilassato-addormentato di brutto dopo pranzo?") Grazie a Espis per la segnalazione
A cabonu mannu| sarebbe bello che... La frase è una storpiatura del latino "Hoc bonum magnum", tradotto poi alla maniera proceddina in " A gallo grande!"(Es.: "Oh Chicchinu has giogau sa schedina?". "Eja, speraus de binci!". "Ehh, a cabonu mannu!"; "Francesco, hai provveduto a giocare la schedina?". "Certo, speriamo di vincere!". "Ehh, sarebbe veramente bello se accadesse!") (Segnalazione di sbertidori)
A caburu mannu| almeno fosse! L'origine di tale detto non è ben precisa. Infatti la parola "caburu" per molti starebbe a significare "cabudu", ovvero il capo di un filo. In questo caso significherebbe che la "mattassa" è facilmente sbrogliabile, quindi una situazione ottimale. Altri sostengono che caburu sia una storpiatura di "cabonu", quindi l'augurio sarebbe di un "gran pollo". Infine c'è chi sostiene che derivi da "caboru", serpente. Ma qui non si capisce il significato di un augurio che suonerebbe come "che sia un grande serpente"... a meno che non sia rivolto ad una pornostar... (Es.: 'Ses coddendi cun Nenna?'. 'A caburu mannu!'; 'Stai trombando con Nenna?'. 'Almeno fosse!') (Segnalazione dell'Artificier Ragno)
A casinu| in casino, ovvero in luogo distante come un tempo lo erano le case chiuse dai centri abitati. Frequententemente usato in inviti a levare il disturbo . (es.: a casinu ki andese / tirarì a casinu ( versione questa campidanense) ; Trad.: in casino (che tu vai) / ritirati in luogo distante ) (Segnalazione di  borittu  )
Acca| mucca (Es.: "B'apo de murghere sas accas"; "C'ho da mungere le mucche") (Segnalazione di goceano)
Accabadda| smettila ! (Ma A-CCBBDD-A è anche una famosa metrica poetica Sarda: leggete la Poesia Franco - pastorale per credere!) (ES: O Schillelé! Accabadda 'e fai su scimpru! - Trad. ES: O Come ti intitoli: smettila di fare lo scemo!) (Grazie ad Ivaz e Mike Bongiorno per la segnalazione)
Accabonu| magari (Es.: e custu fragh'e inu? Accabonu a essi imbriagu immò!; e quest'odore di vino? magari essere ubriaco adesso!) (Segnalazione di Unkus)
(ogni) Accabussara, setti chilus' de pisci| Ogni tuffo, sette chili di pesce. Soprannome di persona che racconta le sue avventure di pesca subacquea millantando pescate favolose che solo lui fare.(es.: Oh Fre! S'atra dì a pisca....ogni accabbussara, setti chilusu de pisci! trad.: Fratello! L'altro giorno a pesca.....ogni immersione erano sette chili di pesce!) (Grazie a Nurhadda)
Accabussònis| Tuffi (es.: Custu mengianu eus fattu vela a iscola, e deusu accabada a fai accabbussonis in su canali de "Mammarranca"!!! ; Quest'oggi abbiamo marinato la scuola, e abbiamo optato per passare il tempo facendo tuffi nel canale di "Mamma sale a fatica"!!!) Grazie ad Andre e il Maresciallo dei Carabinieri, sig. Corona.
Accaddiccare| trombare (in modo animalesco) infatti deriva da "a caddu" cioè "a cavallo" (Es.: s'atteru sera mi l'appho accaddiccata vinzasa a sin crar manzanu...! l'altra sera me la son trombata sino all'indomani mattina...!) (Segnalazione di ConanILBarbaro)
Accagacciau | svogliato, scoglionato; sinonimo di scagareddau . (es.: non tenisi gana e fai nudda, sesi tottu accagacciau! non hai voglia difare niente, sei il solito scoglionato) grazie a Piccioccheddu.
Accaghinàu| persona di sesso maschile con evidenti caratteristiche da effeminato (Un ringraziamento a Seme che ce lha segnalato)
Accallellàu| Amminchiato, pirla. (es.: Oh 'Tore, sesi tottu accallellàu, ma poitta ti ses coxinau is ungas de is pèisi: là chi non èsti cocciula!!! ; Trad.: Oh 'Tore, sei un po pirla, ma perchè ti sei cucinato le unghie dei piedi: guarda che non sono arselle!!!) (Segnalazione di Minch'è quaddu deretta - ringraziamo mistermandarino per la rettifica)
Accallonàu| Addormentato..o Rincoglionito..fate voi!! (es: 1) Ma poitta sesi bessìu cun cussusu accallonausu?? beni cun nosu ca ti spassiasa!! trad.: perchè sei uscito con quei tipi addormentati? vieni con noi che ti diverti!! ; 2) Simmo! Sesi tottu accallonau! Sesi aicci mera accallonau chi m'asi fattu arrui s'impastu! Tui e cussu cunnu malariu de aundi sesi bessiu! ; Trad.: Simone! Sei particolarmente rincoglionito! Con la tua sbadataggine mi hai fatto cadere l'impasto! Tu e la vagina poco sana da dove ne sei uscito!). (Grazie a Marians& Scream per la segnalazione)
Accapottare| Ribaltare (es.: Fèmu tirèndi sa Fiesta, càndu a su curvoni e'su Poèttu mi seu accappottàu! Trad.: Stavo guidando sportivamente la mia auto quando, giunto in prossimità della prima curva della nota spiaggia di Cagliari, ho perso il controllo ribaltandomi!) (Segnalazione di Giampaolo "Conchixedda".)
Accappiau a cu| appiccicato (Es.: sesi sempri accappiau a cu. Cicca de smamai; sei sempre appicciccato cerca di andartene) (Segnalazione di Ciccino)
Accasau| accasato. persona che entra per la prima volta a casa della ragazza al cospetto dei genitori, o in senso ironico anche detto di chi si appropria di un luogo come fosse diventato anche suo. Es1: Là a Peppi danti accasau! - Trad: Sai che a Peppe la ragazza lo ha portato a casa sua per conoscere i genitori? (Segnalazione di sumellu)
Accattongiàu| sconvolto, fumato, drogato di cattongia. (es: Ohi ohi, custu mengianu seu tottu accattongiau de su giarroni de ariseru...toccara mi pigai una birrixedda asinunca d'accabbu cument'e Cenzo Gatto - Trad: Ohi ohi, questa mattina sono sconvolto dalle canne di ieri...penso che berrò una birra, altrimenti la finirò come un mitico personaggio di Cagliari ) (ringraziamo Zittoman)
Accattòni| Scroccone, persona che vive degli scarti altrui! L'essere per eccellenza che raccoglie tutto ciò che trova facendone tesoro. (es.: 1) Unu de cùssusu fròciusu de Fabio e Raffaele lòmpinti in piazzetta a impestài su lògu e cun cùssa fàcci de merda chi tènninti pèdinti una sigaretta poìta non si 'ndanti mai compràu e is' àtrusu di spùndinti: Accattònisi Pudèsciusu!!! ; Trad.: Un giorno quei froci di Fabio e Raffaele arrivano in piazzetta a impestare il posto e con quella faccia di merda che hanno, chiedono una sigaretta perché non le hanno mai comprate e gli altri gli rispondono:  Accattoni Puzzolenti!!! 2) Cessu! Tonio! mi dasi biu cussu ficchiu in s'aliga in forasa de dommu tua pighèndi calincuna cosa de pappai avanzara! Mancu mali chi n'di èsti bessìu, esti passendi sa De Vizia! ; Trad.: Caspiterina! Antonio! Ma hai visto quel particolare personaggio che era dentro l'immondizia fuori da casa tua, che andava cercando qualcosa avanzata di cui cibarsi ! Meno male che è uscito, stà passando il camion dell'immondizia!) (Grazie a Qui Quo Qua & Scream per le segnalazioni.)
Accaugau| lett. aggabbianato, stanco (Es.: Oh fra... oi sesi tottu accaugau; o fratello, oggi ti vedo particolarmente stanco....) (Segnalazione di Igna & Fra)
Accavurau| Poltrone, poco sveglio, rincoglionito. (es.: Custu mengianu ti biu unu pagu accavurau! Cicca de dindi movi, ca su triballu no esti ancora spacciau. ; Trad.: Questa mattina ti vedo un po rincoglionito! Cerca di affrettarti, che il lavoro non e' ancora terminato. ) (Segnalazione di swenson71 )
Acchicchiai| balbettare (Es.: canduchistiona Massimo no si cumprendiri nudda... poitta acchicchiara!; quando Massimo parla ho difficoltà a comprendere ciò che dice...perchè balbetta!!!) (Segnalazione di MIRY E LAU)
Accintrainsucuunu| vai e entra nella vagina (Es.: Gianni: " Oh Fisio, t'appu appena scallau sa macchina noa". Efisio: "Gianni, accintrainsucunnu"; Gianni: "Efisio, ho appena fracassato la tua automobile nuova". Efisio "Gianni, vai e entra nella vagina") (Segnalazione di Belele)
Accioroddari| sbevazzare vini diversi (Es.: (quando si incontra una comitiva di amici che hanno la lingua un pò legata) oi puru eisi accioroddau; anche oggi avete sbevazzato) (Segnalazione di Spirrittu Tibetanu)
Accollassàu| dicesi di persona colpita da un sonno pesantissimo...tipico di chi abusa di canne. Grazie a Seme
Accolondrau| malridotto (Es.: giai ses accolondrau!!!; te la passi proprio male !!!) (Segnalazione di S'istempunu)
Accolovrau| accasciato. (es.: : O Gavvì, dae cando d'as fummau cudd'erbixedda ses tottu accolovrau! Trad: Gavino, da quando hai fatto uso di sostanze stupefacenti ti sei accasciato) (oh Fisietto!!!)
Acconcheddu| parola con molteplici significati (Es.: acconcheddu.. a sa salludi; acconcheddu.. arrangiadì;acconcheddu..a si bì; alla salute (durante un brindisi); arrangiati (risolvitela da sola); arrivederci (rafforzativo di un saluto)) (Segnalazione di scatteddu)
Acconciacrobisi| aggiusta cestini (colui che si prodiga per risolvere i casini degli altri, il paciere) (Es.: là...è arribbau s'acconciacrobisi; è arrivato il paciere) (Segnalazione di Una)
Acconciu| condizione fisica/mentale pessima (Es.: "Oh frari, gi sesi acconciu oi, gi no di manca nudda...; fratello (amico), ma in che condizione sei? già non ti manca niente..ovvero..già sei a fiori..) (Segnalazione di 1980)
Acoveccau in conca| rovesciato in testa (Es.: pigu su bassinu e tidacoveccu in conca; prendo il vaso da notte e telo rovescio in testa) (Segnalazione di supramonte)
Accovveccu| Rovescio, rovesciare. (Es. 1: Ti zaccu una sussa che t'accoveccu a terra!!; Ti dò si tante percosse da farti rovesciare a terra!!. Es. 2.: Accovvecca sa pingiada!; rovescia la pentola!) (Segnalazione di du cashh e tirusu)
Accozzau| raccomandato (Es.: su fillu de su maistu ci esti intrau in su comunu, 'ca furiada accozzau de su sindigu; il figlio del maestro è stato assunto in comune grazie alla segnalazione, meglio detta raccomandazione, del sindaco, di sua conoscenza) (Segnalazione di Giuannicca)
Accraccangiài | schiacciare. (es: Si non ti 'ndi andasa de innoi t'ACCRACCANGIU con is peisi! - trad: se non te ne vai da qui ti schiaccio con i piedi!) (Ringraziamo Silos per la segnalazione)
Accropau| uno sull'altro (Es.: non c'è logu mancu po ponni un'asciugamanu, troppu genti. Seusu tottusu accropausu; non c'è posto neanche per mettere un asciugamanto, troppa gente. Siamo tutti uno sull'altro) (Segnalazione di cicittu)
Accuaddu o 'cuaddu| nascondilo! (es.: doppio significato: ma cummenti du naraisi in sa bidda tua "nascondilo"? - accuaddu - chi ti coddiri) (ringraziamo Cinzio)
Accuaddu| nascondilo. (es.: Oh, laghi c'esti sa Bollea! Accuaddu de pressi cussu spinellu! Oh, guarda che c'è la polizia, nascondi in fretta la sigaretta di hashish) Grazie a Iva Zanicchi per la segnalzione ansiosa.
Accuccurrada| gravida, prossima al parto (Es.: s' acca este accuccurada e anzada paris cun sa sue de sa cumpanza tua; la mucca sta per partorire e partorira' contemporaneamente a quella scrofa della tua fidanzata) (Segnalazione di Tittinu e Sedilo)
Acunortau| nascosto (Es.: asi biu su sirboni? Si esti accunortau inguni a palasa; hai visto il cinghiale? Si è nascosto là dietro) (Segnalazione di figu moriscu)
Accutuliau| abbronzato. (es.: sesi completamenti accutuliau! - Trad: sei completamente abbronzato!) Grazie a Impestau per la segnalzione
Accuzzài su làpis| Temperàre la grafìte. Dicesi di colui che si appresta a sfogare le prime pulsioni adolescenziali (maschili, femminili o neutre). (es.: - Su Compàri : - "Non appu prus biu alluca, aundi stari calendi?" Su Babbu - "Fillu miu stari accuzzendi su lapis!" ; Trad.:  Compàre : - "Non ho più visto il Luca, il tuo figliolo, ha per caso cambiato luogo d'aggregazione amicale?", risposta del Babbo: - "Presumo stia approfondendo l'amicizia nei confronti di un'amichetta...in senso biblico, s'intende") (Ringraziamo Marco Marculo per la segnalazione.)
A chi è che è?| Dici a me ? (es: sesi tuttu scimpru! - risposta: a chi è che è? replica - a tui, calloni tontu! - trad: -sei del tutto scemo! - a chi si riferisce esattamente ? - a te, stupido coglione! ) (ringraziamo  lizio e kekko per la segnalazione)
A chi fiasta...| ti vantavi di essere (e invece non lo sei affatto). Tale espessione non si completa. E' la sospensione che da l'effetto eloquentissimo del suo significato. Si usa per coloro i quali vantano la propria destrezza in qualsivoglia campo per poi smentirsi miseramente con i fatti (Es.: a chi fiasta sballarori e di sesi torrau con un ogu nieddu! Bellu coglioni; dicevi di essere un pugile provetto e invece sei tornato con un occhio nero! Ma che birichino) (Segnalazione di Corleone)
A chini??| a chi?? tipica espressione sarda da balordo (Es. 1: 'Baccagai bruttu calloni!!!'. 'A kini? Bruttu...'; 'Puoi andare al cesso brutto coglione!!!'. 'A chi stai dicendo?? Brutto...' ; Es. 2: Oh Lollo, tindi bogasa de 'scallonisi?! - A chini gazzu ses narendi?! ; Trad.: Mi scusi giovine non e'che per cortesia si potrebbe spostare? Dice a me?) (Segnalazioni di Sim1 & Mandingo)
Acottoriau| Generico: sporco, lurido, Slang: fuso,ubriaco, traballante, sborniato, fulminato (es.: Castiàddu aste acottoriau non prantada! ; Trad.: Guardalo, é completamente ubriaco da non reggersi in piedi!) (Ringraziamo Mario Turra per la segnalazione)
A cravarura| Abbondantemente, a non finire (cravare significa infilare con forza). (es.: Minchieguaddu appu pappau rottu a cravarura ; Trad.: Pene di cavallo! ho mangiato tutto ed abbondantemente. ) (Segnalazione di  incasinau  )
A.C.T.| acronimo di A C'inTrai in su cunnu! Dal nome dell'ex azienda di trasporti pubblici cagliaritana (ora CTM ovvero come cambiarsi le mutande senza lavarsi il culo). Tende ad indicare: torna da dove sei venuta.... A suo tempo era famosa la canzone di disappunto verso l'azienda da parte degli ultras cagliaritani che usufruivano dei suoi mezzi pubblici per recarsi allo stadio ad assistere alle partite casalinghe della squadra locale. (Storica segnalazione di Stefano)
A da coddai| potessi trombarmela (Es.: ceee oh Francu d'asi bia a cussa picciocca? Cee a da coddai; Franco, hai visto quella ragazza? Potessi trombarmela) (Segnalazione di keaton)
Addobadasa de manguru| letteralmente: a colpi di cazzo. Forma di saluto isilese molto antica (già nota nel 1600) usata fra amici, cui solitamente si risponde: 'Ti zacchidi s'uncravohau' (Trad.: 'Ti spacchino il culo') (Segnalazione di Arbarescu)
Addoddoau| Dicesi di persona poco sveglia. (es.: Oh Bustià ti d'appo fatto filtrante! Ajò ses tottu addoddoau!!! ; trad.: Oh Sebastiano Mauro, ti ho fatto un passaggio filtrante (giocando a ISS PRO con la playstation)! Dai, sei poco sveglio!!!) (Segnalato da Lele & Simo)
Addottorài | spettegolare. (es.: Castia cuddasa! Funti sempri addottorendi! trad.: Ma tu guarda quelle! Stanno sempre lì a spettegolare!) Grazie all'inesauribile Winnyna per la segnalazione.
A Fuliadura| A non finire. (es: In cussu locali c'è pilu a fuliadura! - trad.: Quel locale è davvero ricco di belle ragazze!) Grazie a Giampaolo "Conchixedda" per la segnalazione
Affancedau| che convive con l'amante (Es.: Gavineddu ari lassau sa pobidda e se fuiu a bivi cun Antonicca; Gavineddu ha abbandonato la moglie ed è scappato per andare a vivere con Antonicca) (Segnalazione di Gnazio bagasseri)
Affancullu| forma gergale che accorpa l'italiano "vai a fare in culo" . (es.: affanculu a voi! Meti svilutu. ; Trad.: Mi avete stufato, è meglio che andiate a perdere il tempo in altro modo! ) (Grazie a Su Scallau)
Affàrranccasa in susu| lett. Sotto sopra (es.: 1) Cùsta mèsa èsti a fraccasa in susu; 2) Oh gina ponirì a fraccasa in susu. Trad. 1) Questa tavola è sotto sopra (un classico di fine cena); 2) Oh Gina facciamolo sotto sopra!) Grazie a Jessica per la segnalazione.
Affaurrau| Persona con le gambe immobili. (es.: oh Calloni, movirì a pigài sa boccia, mi parisi affaurrau! ; Trad.: oh stupido, muoviti a prendere la palla!!! Sembra che hai le gambe immobili!!!) (Grazie a Su Scallau)
Affexiai| Bere (Es.: Donamì cussa birra ca tengu gana de affexiai!; dammi quella birra che ho voglia di bere) (Segnalazione di Alby)
Affexu (in generalli cun sbroccu)| sbronza (in generale con vomito) (Es.: Minca, Tonio! Spostadì chi sesi a fragh'e affexu...; Ohibò, Antonio! Scansati che ti porti addosso l'odore di sbronza con vomito...) (Segnalazione di Scream is back)
Affinament' 'e anima| (lett.) 'l'anima che si affina'. Viene usato nel senso di fame, languore, calo di pressione, senso di debolezza (Es.: pappa dimoniu! No asa teni affinament' 'e anima?; mangia malandrino! Non sarà che, ti senti male perchè hai fame?) (Ringraziamo la madre dell'Artificier Pablo per questa preziosa segnalazione)
Affogonàu/ affogonada | lett. bruciato /bruciata (usato in zona Baunei). (Es.: salude figgiu è bagassa!!! risp: AFFOGONAUUUUU!!! - Trad: I miei omaggi, gran figlio di troia! - risposta: Bruciatoo! ) Grazie a venere per la segnalazione.
Afframmiai| Assillare, angustare, infastidire, tediare (Es.: ascutta, ti dappu giai nau, non di dengu dinai, mi sei afframmiendi; ascolti buon uomo, gliel'ho ripetuto innumerevoli volte, non sono in possesso di una qualsivoglia forma di denaro, mi sta assillando) (Segnalazione di Ironfist87)
Affrogongiau| acconciato, combinato, ridotto. Normalmente si usa quando una persona, facendo qualcosa, si sporca più del dovuto (Es.: castiarì comenti sesi affrogongiau; guarda come ti sei ridotto o conciato o combinato) (Segnalazione di figu moriscu)
Affròri| Letteralmente "essere a fiori", significa essere conciato male fisicamente o psicologicamente, o anche essere mal abbigliato. (es.: cess! ma ti ses castiàu? gia ses a frori! trad: Oddìo! ma ti sei guardato? come sei conciato male!) (ringraziamo ALBY)
Affrosciau| effeminato, finocchio. Tipica affermazione dorgalese (Es.: cuddu tipu mi parede affrosciau!!!; quel tipo mi pare effeminato, finocchio) (Segnalazione di Bebeto)
Affroscillonàu (Allacanau)| Appassito, rinsecchito (es.: Cagliari - P.zza S.Michele: - Arruvunellu friscu...benei benei...e spesarì..a chi è friscu no du bis chi è tottu affrocillonau! ; Dal fruttivendolo: - Accorrete, gente! Ho dei bei rapanelli freschi...suvvia lascia correre non vedi che sono apassiti?) Ringraziamo Sengiulio per avercelo segnalato.
Aggabbaddu| finito nel senso di distrutto. (es.: OOia mi soggu fattu dezi sfrenzi e soggu umbè aggabbaddu!!!! ; Trad.: Oh perbacco, ho fatto uso di sostanze illecite e sono oltremodo sfinito! ) (Segnalazione di gino )
Aggaddughe| tipico animale sardo tipo molfetta ma tremendamente ingordo e cagone. Es: mi parisi un'aggaddughe!! Trad: ti stia comportando in maniera degna di un ingordo cagone! (ringraziamo tito)
Aggiannittài| abbaiare tipico dei cani durante una battuta di caccia grossa (es.: O Mario téh!!! intendisi is canisi? Funti aggiannittèndi a sriboni. Ponidì in cussa tuppa ca cummenti arrìbbada du spàrasa a scuppetta in su lìmpiu. - trad: Mario ascolta! riesci a sentire i cani? Abbaiano contro il cinghiale. Raggiungi quella postazione in modo che appena arriva lo spari con la doppietta nella radura senza cespugli.) (ringraziamo sonetaula)
